Mod enabled 
==================================================================================
BALATRO JOKER POOL 100000 SAMPLES
==================================================================================
Active Mods Detected    : Balatro (v1.0.1o-FULL), Balatro Easy Mode (v1.0.2-beta), Debug (v1.0.0-beta), Lovely (v0.9.0), Steamodded (v1.0.0~BETA-1814a)
Active Deck             : Plasma Deck
Active Difficulty/Stake : White Stake
Jokers Appeared         : 144 / 150 items (Coverage: 96.00%)
Target Ideal Per Card   : 0.694% (~694.4 hits)
Healthy Hits Threshold  : 486 - 903 hits
Healthy Freq Threshold  : 0.486% - 0.903%
Pool Health Score       : 100.00% (144/144 in optimal range)
Pool Integrity Status   : FLAT / HEALTHY (PASS)
==================================================================================

Hologram                         | [Uncommon] | Hits:   778 | Freq:  0.778%
Fortune Teller                   | [Common  ] | Hits:   769 | Freq:  0.769%
Cloud 9                          | [Uncommon] | Hits:   764 | Freq:  0.764%
Mr. Bones                        | [Uncommon] | Hits:   764 | Freq:  0.764%
Oops! All 6s                     | [Uncommon] | Hits:   763 | Freq:  0.763%
Rocket                           | [Uncommon] | Hits:   758 | Freq:  0.758%
Four Fingers                     | [Uncommon] | Hits:   754 | Freq:  0.754%
Ceremonial Dagger                | [Uncommon] | Hits:   753 | Freq:  0.753%
Flower Pot                       | [Uncommon] | Hits:   749 | Freq:  0.749%
Hallucination                    | [Common  ] | Hits:   748 | Freq:  0.748%
Throwback                        | [Uncommon] | Hits:   745 | Freq:  0.745%
Midas Mask                       | [Uncommon] | Hits:   744 | Freq:  0.744%
Bull                             | [Uncommon] | Hits:   744 | Freq:  0.744%
Splash                           | [Common  ] | Hits:   741 | Freq:  0.741%
Ramen                            | [Uncommon] | Hits:   739 | Freq:  0.739%
Cartomancer                      | [Uncommon] | Hits:   738 | Freq:  0.738%
Certificate                      | [Uncommon] | Hits:   738 | Freq:  0.738%
Trading Card                     | [Uncommon] | Hits:   737 | Freq:  0.737%
Shortcut                         | [Uncommon] | Hits:   736 | Freq:  0.736%
Loyalty Card                     | [Uncommon] | Hits:   735 | Freq:  0.735%
Blackboard                       | [Uncommon] | Hits:   734 | Freq:  0.734%
Luchador                         | [Uncommon] | Hits:   733 | Freq:  0.733%
Abstract Joker                   | [Common  ] | Hits:   728 | Freq:  0.728%
Seance                           | [Uncommon] | Hits:   727 | Freq:  0.727%
Burglar                          | [Uncommon] | Hits:   726 | Freq:  0.726%
Card Sharp                       | [Uncommon] | Hits:   725 | Freq:  0.725%
Pareidolia                       | [Uncommon] | Hits:   723 | Freq:  0.723%
Satellite                        | [Uncommon] | Hits:   721 | Freq:  0.721%
Merry Andy                       | [Uncommon] | Hits:   721 | Freq:  0.721%
The Idol                         | [Uncommon] | Hits:   720 | Freq:  0.720%
Troubadour                       | [Uncommon] | Hits:   718 | Freq:  0.718%
Madness                          | [Uncommon] | Hits:   718 | Freq:  0.718%
Erosion                          | [Uncommon] | Hits:   718 | Freq:  0.718%
Driver's License                 | [Rare    ] | Hits:   716 | Freq:  0.716%
Hack                             | [Uncommon] | Hits:   715 | Freq:  0.715%
Smeared Joker                    | [Uncommon] | Hits:   715 | Freq:  0.715%
Ice Cream                        | [Common  ] | Hits:   715 | Freq:  0.715%
Ride the Bus                     | [Common  ] | Hits:   714 | Freq:  0.714%
Golden Joker                     | [Common  ] | Hits:   714 | Freq:  0.714%
Caino                            | [Legendary] | Hits:   713 | Freq:  0.713%
Rough Gem                        | [Uncommon] | Hits:   712 | Freq:  0.712%
Droll Joker                      | [Common  ] | Hits:   712 | Freq:  0.712%
Joker                            | [Common  ] | Hits:   711 | Freq:  0.711%
Showman                          | [Uncommon] | Hits:   710 | Freq:  0.710%
To the Moon                      | [Uncommon] | Hits:   709 | Freq:  0.709%
Constellation                    | [Uncommon] | Hits:   708 | Freq:  0.708%
Banner                           | [Common  ] | Hits:   708 | Freq:  0.708%
Bootstraps                       | [Uncommon] | Hits:   707 | Freq:  0.707%
Castle                           | [Uncommon] | Hits:   707 | Freq:  0.707%
To Do List                       | [Common  ] | Hits:   706 | Freq:  0.706%
Flash Card                       | [Uncommon] | Hits:   706 | Freq:  0.706%
Hiker                            | [Uncommon] | Hits:   706 | Freq:  0.706%
Astronomer                       | [Uncommon] | Hits:   705 | Freq:  0.705%
Gros Michel                      | [Common  ] | Hits:   705 | Freq:  0.705%
Bloodstone                       | [Uncommon] | Hits:   704 | Freq:  0.704%
Joker Stencil                    | [Uncommon] | Hits:   702 | Freq:  0.702%
Mime                             | [Uncommon] | Hits:   702 | Freq:  0.702%
Riff-raff                        | [Common  ] | Hits:   702 | Freq:  0.702%
Lusty Joker                      | [Common  ] | Hits:   701 | Freq:  0.701%
Zany Joker                       | [Common  ] | Hits:   700 | Freq:  0.700%
Onyx Agate                       | [Uncommon] | Hits:   700 | Freq:  0.700%
Hanging Chad                     | [Common  ] | Hits:   700 | Freq:  0.700%
Dusk                             | [Uncommon] | Hits:   700 | Freq:  0.700%
Scary Face                       | [Common  ] | Hits:   699 | Freq:  0.699%
Wily Joker                       | [Common  ] | Hits:   698 | Freq:  0.698%
Seeing Double                    | [Uncommon] | Hits:   698 | Freq:  0.698%
Greedy Joker                     | [Common  ] | Hits:   697 | Freq:  0.697%
Square Joker                     | [Common  ] | Hits:   697 | Freq:  0.697%
Mail-In Rebate                   | [Common  ] | Hits:   696 | Freq:  0.696%
Juggler                          | [Common  ] | Hits:   695 | Freq:  0.695%
Shoot the Moon                   | [Common  ] | Hits:   695 | Freq:  0.695%
Red Card                         | [Common  ] | Hits:   695 | Freq:  0.695%
Crazy Joker                      | [Common  ] | Hits:   695 | Freq:  0.695%
Ancient Joker                    | [Rare    ] | Hits:   694 | Freq:  0.694%
Credit Card                      | [Common  ] | Hits:   694 | Freq:  0.694%
Gift Card                        | [Uncommon] | Hits:   693 | Freq:  0.693%
Sly Joker                        | [Common  ] | Hits:   691 | Freq:  0.691%
Seltzer                          | [Uncommon] | Hits:   691 | Freq:  0.691%
Runner                           | [Common  ] | Hits:   690 | Freq:  0.690%
Raised Fist                      | [Common  ] | Hits:   690 | Freq:  0.690%
Chaos the Clown                  | [Common  ] | Hits:   690 | Freq:  0.690%
8 Ball                           | [Common  ] | Hits:   689 | Freq:  0.689%
Invisible Joker                  | [Rare    ] | Hits:   689 | Freq:  0.689%
Brainstorm                       | [Rare    ] | Hits:   689 | Freq:  0.689%
Swashbuckler                     | [Common  ] | Hits:   689 | Freq:  0.689%
Business Card                    | [Common  ] | Hits:   688 | Freq:  0.688%
Smiley Face                      | [Common  ] | Hits:   687 | Freq:  0.687%
Diet Cola                        | [Uncommon] | Hits:   686 | Freq:  0.686%
Half Joker                       | [Common  ] | Hits:   685 | Freq:  0.685%
The Tribe                        | [Rare    ] | Hits:   685 | Freq:  0.685%
Vampire                          | [Uncommon] | Hits:   684 | Freq:  0.684%
Photograph                       | [Common  ] | Hits:   683 | Freq:  0.683%
Mad Joker                        | [Common  ] | Hits:   683 | Freq:  0.683%
Reserved Parking                 | [Common  ] | Hits:   682 | Freq:  0.682%
Fibonacci                        | [Uncommon] | Hits:   680 | Freq:  0.680%
Superposition                    | [Common  ] | Hits:   679 | Freq:  0.679%
Egg                              | [Common  ] | Hits:   679 | Freq:  0.679%
Faceless Joker                   | [Common  ] | Hits:   679 | Freq:  0.679%
Blue Joker                       | [Common  ] | Hits:   678 | Freq:  0.678%
Space Joker                      | [Uncommon] | Hits:   675 | Freq:  0.675%
Chicot                           | [Legendary] | Hits:   675 | Freq:  0.675%
Sixth Sense                      | [Uncommon] | Hits:   675 | Freq:  0.675%
Arrowhead                        | [Uncommon] | Hits:   675 | Freq:  0.675%
Acrobat                          | [Uncommon] | Hits:   675 | Freq:  0.675%
Crafty Joker                     | [Common  ] | Hits:   674 | Freq:  0.674%
Baseball Card                    | [Rare    ] | Hits:   673 | Freq:  0.673%
Yorick                           | [Legendary] | Hits:   672 | Freq:  0.672%
Turtle Bean                      | [Uncommon] | Hits:   672 | Freq:  0.672%
Sock and Buskin                  | [Uncommon] | Hits:   671 | Freq:  0.671%
Perkeo                           | [Legendary] | Hits:   670 | Freq:  0.670%
Spare Trousers                   | [Uncommon] | Hits:   669 | Freq:  0.669%
Drunkard                         | [Common  ] | Hits:   668 | Freq:  0.668%
Scholar                          | [Common  ] | Hits:   668 | Freq:  0.668%
The Duo                          | [Rare    ] | Hits:   668 | Freq:  0.668%
Clever Joker                     | [Common  ] | Hits:   668 | Freq:  0.668%
Stuntman                         | [Rare    ] | Hits:   666 | Freq:  0.666%
Campfire                         | [Rare    ] | Hits:   665 | Freq:  0.665%
Wrathful Joker                   | [Common  ] | Hits:   665 | Freq:  0.665%
Vagabond                         | [Rare    ] | Hits:   663 | Freq:  0.663%
Even Steven                      | [Common  ] | Hits:   662 | Freq:  0.662%
Odd Todd                         | [Common  ] | Hits:   661 | Freq:  0.661%
Mystic Summit                    | [Common  ] | Hits:   660 | Freq:  0.660%
Gluttonous Joker                 | [Common  ] | Hits:   658 | Freq:  0.658%
Baron                            | [Rare    ] | Hits:   658 | Freq:  0.658%
Popcorn                          | [Common  ] | Hits:   658 | Freq:  0.658%
Marble Joker                     | [Uncommon] | Hits:   656 | Freq:  0.656%
The Trio                         | [Rare    ] | Hits:   656 | Freq:  0.656%
Delayed Gratification            | [Common  ] | Hits:   656 | Freq:  0.656%
The Order                        | [Rare    ] | Hits:   655 | Freq:  0.655%
Matador                          | [Uncommon] | Hits:   655 | Freq:  0.655%
Blueprint                        | [Rare    ] | Hits:   655 | Freq:  0.655%
The Family                       | [Rare    ] | Hits:   653 | Freq:  0.653%
Wee Joker                        | [Rare    ] | Hits:   648 | Freq:  0.648%
Triboulet                        | [Legendary] | Hits:   647 | Freq:  0.647%
Supernova                        | [Common  ] | Hits:   647 | Freq:  0.647%
Green Joker                      | [Common  ] | Hits:   646 | Freq:  0.646%
DNA                              | [Rare    ] | Hits:   644 | Freq:  0.644%
Jolly Joker                      | [Common  ] | Hits:   636 | Freq:  0.636%
Devious Joker                    | [Common  ] | Hits:   631 | Freq:  0.631%
Hit the Road                     | [Rare    ] | Hits:   631 | Freq:  0.631%
Walkie Talkie                    | [Common  ] | Hits:   621 | Freq:  0.621%
Misprint                         | [Common  ] | Hits:   620 | Freq:  0.620%
Burnt Joker                      | [Rare    ] | Hits:   618 | Freq:  0.618%
Obelisk                          | [Rare    ] | Hits:   615 | Freq:  0.615%






Mod disabled 
==================================================================================
BALATRO JOKER POOL 100000 SAMPLES
==================================================================================
Active Mods Detected    : Balatro (v1.0.1o-FULL), Debug (v1.0.0-beta), Lovely (v0.9.0), Steamodded (v1.0.0~BETA-1814a)
Active Deck             : Plasma Deck
Active Difficulty/Stake : White Stake
Jokers Appeared         : 138 / 150 items (Coverage: 92.00%)
Target Ideal Per Card   : 0.725% (~724.6 hits)
Healthy Hits Threshold  : 507 - 943 hits
Healthy Freq Threshold  : 0.507% - 0.942%
Pool Health Score       : 0.00% (0/138 in optimal range)
Pool Integrity Status   : BIAS DETECTED (CHECK POOL)
==================================================================================

Even Steven                      | [Common  ] | Hits:  1273 | Freq:  1.273%
Abstract Joker                   | [Common  ] | Hits:  1248 | Freq:  1.248%
